,body
204,'حجم کمی خورد امروز فروشنده خاصی تو این قیمت ها نداره تقریبا نماد خشک خشک است اگر اتفاق خاصی نیفته فعلا تامحدوده 900تومان یه بالایی خواهد زد احتمالا فردا بورس وفرابورس صف خرید خواهند شد'
205,'نماد بورس امروز صف خرید بسته بشه بتواند  25درصد بالای آخرین قیمت تثبیت کنه از کانال نزولی خارج میشه وتازه اونجا خریدهای بزرگ رواین نماد انجام خواهد شدمتاسفانه از صفر تابلو 30درصد میخاد تا خروج از کانال نزولی'
206,'نماد شتران تو نقطه خوبی است برای ورود عالیه   از کانال نزولی خارج شده بالای کانال نزولی تثبیت کرده تا مقاومت بعدی 50درصد سود خالص میده'
207,'OK'
208,'این نماد محکوم به رشد است  بازهم صبر می کنیم بلاخره یه جایی باید بزنن زیر نماد تا بره برا 1050پس فعلا هستیم'
209,'این تحلیل رو قبلا فرستاده بودم
210,گفتم هدف اول کوتاه مدت ۷۹۵ هست، که دیدید امروز تاچش کرد و برگشت(۷۹۵ روی مویینگ اوریج هست)، باید از این قیمت عبور کنه تا به سقف کانال که حدود ۸۵۰ هست برسه و بعد اهداف ۱۰۰۰ و ۱۲۰۰
211,زیر ۷۰۰ بیاد قطعا سنگین میخرم'
212,'شرایط کلی بازار خرابه، نماد بورس هم نباشه هرنمادی دیگه هم باشه یک روز مثبت میکنند 2روز منفی؟؟'
213,'خبری توش نبست تا این دوتا خط سبزو پس نگیره'
214,'فردا مثبت نباشه تا 640 میاد پایین'
215,'ما که فقط نگاه و سکوت .'
216,'یکی بیاد بگه قراره به کجا برسیم با این نماد'
217,'فقط سرخطی شاید بشه بخری فعلا که روند بورس صعودی +++++'
218,'؟'
219,'در تحلیل همه چیز مشخصه!
220,اهداف کوتاه مدت سهم: ۷۹۵ و بعد سقف کانال نزولی حدود ۸۵۰ تومان
221,اهداف بلند مدت: در صورت شکستن سقف کانال ۱۲۰۰ تومان
222,.
223,.
224,پرسود باشید'
225,'تو این چندسال که تو بورس هستیم نماد بورس، وانرژی 3 حد ضرر نیاز نداشتن چون خیلی زود بر میگشتن وهمه را غافلگیر میکردن،چون یه برگشت هایی میزدن که فرصت ورود نمیدادن ایندفعه رو دست خوردیم بلاخره بورس است قابل پیش بینی نیست...'
226,'رو قیمت 2200سوارنماد برکت شدیم 100درصد سود داد  تمام ضررهای سال 88و89 جبران شد الان تو نماد بورس تو ضرر شدید هستم اما نماد بورس تا 1050میاد بالا بعداز بورس خارج میشم وسوار نماد شفن خواهم شد، نماد شفن رشد خوبی خواهد کرد زیر نظر داشته باشید....'
227,'به نظر میرسه این بار لیدر کالا خواهد بود بورس هم کمکی نیم نگاهی بهش خواهیم داشت.چکش  روی حمایت شکل گرفته نیاز با چکش دوم در روز شنبه است تا ادامه صعود با قدرت انجام پذیرد .'
228,'نماد بورس کلا 3میلیارد و900 میلیون ورود پول حقیقی داشت اما قدرت خریدارش عالی بود.... نماد فرابورس 12میلیارد ورود پول داشت اما سرانه خرید وقدرت خریدار نماد بورس بهترازبقیه فراکابها بود...'
229,'11 میلیارد تومن ورود پول هوشمند داشت! که چند درصدی از اون خودم بودم!'
230,'نماد چخزر، سرانه خریدش خوب بود قدرت خریدارش هم بد نبود اگر قرار باشه رشدی داشته باشه شنبه با صف خرید باز میشه اگر با صف خرید باز شد فعلا نگهداری کنید'
231,'نماد چخزر شنبه احتمالا یه بالایی بزنه تو مثبت 2یا 3میتونید نقد کنیدوهمون شنبه نماد برکت بخرید اگر تا اومد نقد کنید برکت صف خرید شده بودتا روز دوشنبه صبر کنید روز دوشنبه تو منفی اول صبح نماد خنصیر خریداری کنید اگر روز دوشنبه خنصیرمثبت نشد اصلا نگران نباشید روز 3شنبه با صف خرید باز میشه'
232,'سلام
233,آمریکا معافیت های تحریم های هسته ای رو تمدید کرد پس چرا اثر برعکس گذاشته؟؟؟؟؟؟؟
234,کسی میدومنه چه خبره؟؟؟؟'
235,'به اوقیمت 1050تومن یکسال دیگه هم نمیرسه شاید ریزش بیشترهم داشته باشیم'
236,'ما تا قیمت 1050تحت هیچ شرایطی فروشنده نیستیم امروز صف خرید میشه'
237,'خبراصلی این است که تا 2سال دیگه بورس رشدنداره وفعلا رنج میمونه دوروز مثبت 3روز منفی'
238,'چه خبر دیگه؟؟؟؟؟'
239,'احتمال داره نمادها از ساعت 10به بعد از منفی به صف خرید برن صبر می کنیم اگر بازار برگشت نداشت نقد می کنیم'
240,'۲۰ درصد ریزش اکثر نماد ها بخاطر برجا جدید یه مدتی نقد شوید'
241,'متاسفانه دیگه خبری ازاون پولهای بزرگ تو بورس ایران نیست واگرنه امروز نماد برکت و نمرینو بایدصف خرید سنگین میبستن'
242,'اگر فردا بازیگر تو مثبت نمادباز کنه کلاه رفته سر اونها که امروز فروختن اگر تو منفی 5بازبشه کلاه رفته سر ما چون میتونستیم روز4 شنبه 875 بفروشیم وفردا 770تو منفی 5خرید کنیم اما امیدوارم فردا رو 820بازش کنند...'
243,'حقوقی چهارونیم میلیون سهم خرید پس فک نکنم به ضرر خودشون راضی باشن بورس فردا مثبت وبعدشم صف خریده،،،،امروزم خود حقیقی هانمیخاستن سبز بشه ازبس ترسیده بودن وعرضه کردن سهامشون رو'
244,'ارش فردا بهش اصلاع میدم نماد را سبز کنن'
245,'عده ای از دوستان میگن نظر شما درباره بازیگر نماد بورس چیه، اگربازیگر قصدش حمایت ازنماد باشه وهدفشون بالارفتن قیمت باشه فردا نماد بورس یا صفر تابلو یا با قیمت 820باز میشه وتا ساعت 10صف خرید خواهد شد، اگر غیراز این باشه بازیگر خوبی نداره'
246,'فردا بیشترنمادها از منفی به مثبت ودوشنبه تا آخر هفته صف خرید خواهند بود'
247,'قسمتی از تحریم ها برداشته شد'
248,'شاخص خدارا شکر صعودی است ورود پول خوبی داریم تو بازار تا شاخص 1480به هیچ عنوان فروشنده نباشید نماد بورس تا قیمت 1050به هیچ عنوان فروشنده نیستیم.....'
249,'دوستان من در جواب همه این منفی بافی ها جواب درست و منطقی می دم ولی رد میشه دلیلش ؟'
250,'من منفی باف نیستم گفتم شاخص احتمال داره فردا بریزه مواظب باشید'
251,'مردم را به خرید تحریک میکنید 
